cpu,mem,db_conn
21.4901424590337,29.152480635954593,17.0
19.785193763419777,29.15567015564084,12.0
22.34295895616842,26.533700634313533,21.0
25.168729634018522,29.527275674374426,18.0
20.09668681552172,31.715554009996882,17.0
20.295923295620742,27.763832351058312,23.0
25.93476051941137,32.4716138384649,23.0
23.697735333901093,31.412491587612614,19.0
20.184758908337606,29.030700439292065,20.0
23.417975865016135,30.27825495250745,22.0
20.596440229513227,33.820017282208205,22.0
20.78510697009792,32.152431332813656,21.0
23.10291307896945,30.76475797216429,20.0
16.830964784948158,30.333562237991256,23.0
17.58880298810204,31.0237588288713,15.0
21.26833947889048,29.90848936792674,29.0
20.107172245157905,26.783847642537275,20.0
24.277612919193963,35.138877436814994,24.0
20.798670106187267,31.42618180905753,15.0
19.472293590123954,31.97266223624112,19.0
28.291129729851168,31.121204296518798,15.0
23.400275629136093,29.82724500327355,22.0
24.461979264723766,30.985885722883022,14.0
20.165236511014825,28.218989097167587,12.0
22.98464358183928,36.031774029413306,23.0
25.12702315517163,29.06816857605711,21.0
21.51582064617046,29.532611361590646,21.0
26.268453971568146,30.775127420154515,16.0
23.50994590945242,34.290640486982014,22.0
24.605158118538903,31.80208235872855,17.0
23.841304897262162,29.359091053369315,16.0
31.367186158899862,34.39805150548446,28.0
25.93146273941012,33.40909296511421,22.0
22.958035732866637,33.081374324431046,20.0
28.755564976494252,33.4930723910588,27.0
22.779645922463846,36.90710508718459,13.0
27.220437504729,36.54501746062837,15.0
20.863868744642126,30.857503556687174,15.0
22.90465630441022,35.53446222151708,22.0
27.623377899611476,33.108429317604,18.0
29.38896064898146,33.39531932529651,16.0
27.825563140838867,29.067246238344087,15.0
27.09948635254387,32.165293492592596,19.0
26.675114542184904,30.93430339687278,24.0
23.27182281788741,34.26955377443992,17.0
25.673736471090706,34.80867436848571,23.0
26.574099887484298,28.57020125138559,15.0
31.246947682707887,32.72733994574971,20.0
29.222770551715364,35.066935376563684,24.0
23.015853238831504,32.50121601437669,22.0
29.38696175626335,34.383613654707034,14.0
27.36583337824468,33.67827262436261,20.0
26.59327627151551,33.70925249258545,19.0
30.558583689972465,32.53281961639212,17.0
31.912576636337327,30.69132497536708,19.0
31.705913957962952,30.92997510522629,25.0
26.483351852097137,34.63979346509909,22.0
28.15869783360519,33.307554694823466,21.0
30.16182138192836,33.0386527241023,23.0
32.17269550544728,32.51441809038425,16.0
27.882868146136392,32.797816109155164,20.0
28.834016633199226,35.54748049083336,17.0
26.138835072477303,32.828092212996964,17.0
25.932283543663146,30.860827778939797,19.0
32.01773607007484,35.07408400557796,14.0
33.7043019398844,33.22028994857413,14.0
29.47112063644165,33.73553064229844,28.0
32.745444110629265,36.930017300978534,24.0
30.863554099496067,33.71528091100045,18.0
27.883176039908225,34.37572377928673,18.0
30.938684116409842,31.479870528583486,18.0
34.500627327915105,33.43814004905576,17.0
29.80710536458701,35.13568663855462,28.0
34.63261460155847,30.84443070865489,15.0
22.099573133107164,34.39479400222549,25.0
32.44065737916622,34.23198768659308,19.0
30.24824264447034,34.14965243512175,19.0
29.098236254657188,36.177431831318096,12.0
30.27469953190617,34.80738647053333,16.0
24.036869721184722,37.12940201070351,26.0
29.336720366902515,32.220175892851415,18.0
31.05923514924048,34.512643377878,24.0
34.40974594741628,34.44250452015036,20.0
28.405429244344425,32.1671709270235,18.0
27.5149512133012,36.249706132152774,20.0
28.411376973771077,39.01722128754099,20.0
32.63510401315324,34.363938603201284,18.0
30.84344511733459,35.43738183419265,21.0
28.232262560075068,34.625073751937826,18.0
31.321768367420514,33.05686835647062,31.0
30.029708956826074,30.869817414891443,22.0
32.59702626040323,33.126386391135654,21.0
27.533670679892424,31.779902939399143,21.0
28.60172639099584,37.99719711385381,14.0
28.34943748331948,34.38322980550869,18.0
25.07245603247779,33.945345928829994,30.0
30.28481556804698,36.43850307941174,22.0
30.109315956761673,32.43897592098138,18.0
29.267455577809066,33.170301119860255,20.0
28.47061815269266,34.860989808551274,26.0
24.846862042105574,36.80246107962489,26.0
27.745995946930197,35.767629629259055,40.0
27.89114295995349,35.27950186023669,49.0
26.420241700494884,34.956931771132474,67.0
28.247472660077136,35.61826263813952,74.0
29.84424623693235,35.23743859373941,81.0
34.18796251916035,32.78977476690957,110.0
28.94703775486197,34.9567065339358,117.0
29.086485779955122,32.73123947129779,131.0
27.97770172891524,35.05408829945095,145.0
22.328650392298776,33.94316940213929,22.0
27.886113096013215,39.99500428942528,19.0
28.023849880667278,34.847459882438876,20.0
35.10725295765712,32.12900725092477,22.0
27.011724187465855,34.67859222339763,21.0
28.361694148768038,35.99436344604459,15.0
27.218179131186783,38.31029284749299,17.0
23.678613817832666,33.79180360880374,17.0
30.472576101246823,31.81221925105115,20.0
29.156548933629686,36.61633835450362,26.0
29.12772764664065,32.22627752122097,19.0
23.87764964840779,34.119195368572626,21.0
30.662732916152006,34.479516686436305,19.0
22.09475311158208,34.857961736006615,25.0
27.90431385945793,36.37724773509545,11.0
32.5560883184695,33.632559363818466,19.0
